Climatico,ML,Precicion,MAPE,RMSE,t/h,kg/h,R2
"'HI,BM,CT_UAV_1,YLD']",RF,0.96477001994742,0.03522998005258,34.18609522679950,0.34186095226800,341.86095226799500,0.87866561611403
'HI-BM-CT_UAV_1-YLD',XGB,0.96396341735711,0.03603658264289,34.58921226818060,0.34589212268181,345.89212268180600,0.87578723304228
"'TGW, HI,BM,CT_UAV_1,YLD']",RF,0.96320561647930,0.03679438352070,35.01335255625820,0.35013352556258,350.13352556258200,0.87272230936902
"'HI,BM,CT_UAV_2,YLD']",RF,0.96268999364911,0.03731000635089,37.72825740296000,0.37728257402960,377.28257402960000,0.85221907316966
"'HI,BM,CT_UAV_1,CT_UAV_2,YLD']",RF,0.96260084834918,0.03739915165082,37.93951789057100,0.37939517890571,379.39517890571000,0.85055943224113
'HI-BM-CT_UAV_2-YLD',XGB,0.96259205708049,0.03740794291951,37.71634502499570,0.37716345024996,377.16345024995700,0.85231237959080
"'HI,BM,CT_UAV_1,CT_UAV_3,YLD']",RF,0.96249816283612,0.03750183716388,36.40810815162780,0.36408108151628,364.08108151627800,0.86238013790766
"'TGW,HI,BM,CT_UAV_1,CT_UAV_3,YLD']",RF,0.96214469352886,0.03785530647114,34.98472850142710,0.34984728501427,349.84728501427100,0.87293032797545
Diario,RF,0.96190000000000,0.03810000000000,35.72140000000000,0.35721400000000,357.21400000000000,0.86750000000000
Mensual,RF,0.96190000000000,0.03810000000000,35.81910000000000,0.35819100000000,358.19100000000000,0.86680000000000
Correlación,RF-1000 arboles,0.96190000000000,0.03810000000000,35.78310000000000,0.35783100000000,357.83100000000000,0.86710000000000
Semanal,RF,0.96180000000000,0.03820000000000,35.72180000000000,0.35721800000000,357.21800000000000,0.86750000000000
Quincenal,RF,0.96180000000000,0.03820000000000,35.83300000000000,0.35833000000000,358.33000000000000,0.86670000000000
'HIBMCT_UAV_1CT_UAV_2CT_UAV_3YLD'],RF,0.96149921294852,0.03850078705148,37.50224564104840,0.37502245641048,375.02245641048400,0.85398433812642
'TGWHIBMCT_UAV_1CT_UAV_4YLD'],RF,0.96130328820496,0.03869671179504,37.57082290359950,0.37570822903600,375.70822903599500,0.85344983628488
'HIBMYLD'],RF,0.96128989737258,0.03871010262743,39.77818222744270,0.39778182227443,397.78182227442700,0.83572375809733
'TGW-HI-BM-CT_UAV_1-CT_UAV_2-CT_UAV_3-YLD',XGB,0.96110540392921,0.03889459607079,35.70187956214150,0.35701879562142,357.01879562141500,0.86766733633098
'TGWHIBMCT_UAV_1CT_UAV_2CT_UAV_3YLD'],RF,0.96109171459304,0.03890828540696,35.51000075252730,0.35510000752527,355.10000752527300,0.86908595072426
'TGWHIBMCT_UAV_1CT_UAV_2YLD'],RF,0.96106561282806,0.03893438717194,37.05407391988200,0.37054073919882,370.54073919882000,0.85745341404422
'TGWHIBMCT_UAV_1CT_UAV_3CT_UAV_4YLD'],RF,0.96081637255231,0.03918362744769,37.11984662357710,0.37119846623577,371.19846623577100,0.85694691127694
'HIBMCT_UAV_4YLD'],RF,0.96068160612295,0.03931839387705,40.63592993894810,0.40635929938948,406.35929938948100,0.82856270766137
'HIBMCT_UAV_1CT_UAV_3CT_UAV_4YLD'],RF,0.96059573026835,0.03940426973165,41.01900198415490,0.41019001984155,410.19001984154900,0.82531521801919
'TGWHIBMCT_UAV_3YLD'],RF,0.96057430386295,0.03942569613705,37.02588043795350,0.37025880437954,370.25880437953500,0.85767025150567
'TGWHIBMCT_UAV_1CT_UAV_2CT_UAV_4YLD'],RF,0.96050897225115,0.03949102774885,38.09609789890210,0.38096097898902,380.96097898902100,0.84932337588422
'HI-BM-CT_UAV_1-CT_UAV_2-YLD',XGB,0.96036386829331,0.03963613170669,42.07267848272480,0.42072678482725,420.72678482724800,0.81622551426866
'TGW-HI-BM-CT_UAV_1-CT_UAV_3-CT_UAV_4-YLD',XGB,0.96035610109155,0.03964389890845,38.00701798271870,0.38007017982719,380.07017982718700,0.85002720484222
'TGWHIBMCT_UAV_2CT_UAV_4YLD'],RF,0.96034427425377,0.03965572574623,39.50559809578520,0.39505598095785,395.05598095785200,0.83796748405678
'HIBMCT_UAV_3CT_UAV_4YLD'],RF,0.96032669369221,0.03967330630779,41.74806495097400,0.41748064950974,417.48064950974000,0.81905041389574
'HIBMCT_UAV_3YLD'],RF,0.96028363863071,0.03971636136929,40.43324592559270,0.40433245925593,404.33245925592700,0.83026863349667
'HI-BM-YLD',XGB,0.96016214405911,0.03983785594089,40.06478878482360,0.40064788784824,400.64788784823600,0.83334796998642
[[['TGWHIBMCT_UAV_1CT_UAV_2CT_UAV_3CT_UAV_4YLD'],RF,0.96015958466346,0.03984041533654,37.24790980226830,0.37247909802268,372.47909802268300,0.85595814453499
'HI-BM-CT_UAV_1-CT_UAV_2-CT_UAV_3-YLD',XGB,0.95866481361950,0.04133518638050,39.72189298023850,0.39721892980239,397.21892980238500,0.83618835667211
'TGW-HI-BM-CT_UAV_1-CT_UAV_2-YLD',XGB,0.95862094939403,0.04137905060597,39.29498923216500,0.39294989232165,392.94989232165000,0.83969050673016
'TGW-HI-BM-CT_UAV_2-CT_UAV_3-YLD',XGB,0.95855413900366,0.04144586099634,39.83781060709940,0.39837810607099,398.37810607099400,0.83523088147867
"Correlación 
",SVR-Lineal,0.95830000000000,0.04170000000000,40.66860000000000,0.40668600000000,406.68600000000000,0.82830000000000
'HI-BM-YLD',SVR,0.95823708185670,0.04176291814330,47.28664748618790,0.47286647486188,472.86647486187900,0.76785360580117
'TGW-HI-BM-CT_UAV_1-YLD',XGB,0.95819070344758,0.04180929655242,37.07964682736460,0.37079646827365,370.79646827364600,0.85725658880029
'HI-BM-CT_UAV_4-YLD',XGB,0.95795940402387,0.04204059597614,41.61086977122650,0.41610869771227,416.10869771226500,0.82023775609173
'TGW-HI-BM-YLD',SVR,0.95795291677061,0.04204708322940,46.15734156531570,0.46157341565316,461.57341565315700,0.77880950097115
'TGW-HI-BM-CT_UAV_3-CT_UAV_4-YLD',XGB,0.95773925077892,0.04226074922108,40.21898910212590,0.40218989102126,402.18989102125900,0.83206268936009
Diario,XGB,0.95740000000000,0.04260000000000,40.96590000000000,0.40965900000000,409.65900000000000,0.82580000000000
Semanal,XGB,0.95740000000000,0.04260000000000,40.96590000000000,0.40965900000000,409.65900000000000,0.82580000000000
Quincenal,XGB,0.95740000000000,0.04260000000000,40.96590000000000,0.40965900000000,409.65900000000000,0.82580000000000
Mensual,XGB,0.95740000000000,0.04260000000000,40.96590000000000,0.40965900000000,409.65900000000000,0.82580000000000
"Correlación 
",XGB-,0.95740000000000,0.04260000000000,40.96590000000000,0.40965900000000,409.65900000000000,0.82580000000000
'TGW-HI-BM-CT_UAV_1-CT_UAV_3-YLD',XGB,0.95716221575370,0.04283778424630,39.76264081368390,0.39762640813684,397.62640813683900,0.83585209912025
'HI-BM-CT_UAV_4-YLD',SVR,0.95705707742990,0.04294292257010,42.85722493773310,0.42857224937733,428.57224937733100,0.80930777502536
'HI-BM-CT_UAV_3-YLD',XGB,0.95682145815183,0.04317854184817,41.38228873391180,0.41382288733912,413.82288733911800,0.82220730779188
'HI-BM-CT_UAV_1-CT_UAV_3-CT_UAV_4-YLD',SVR,0.95678480150944,0.04321519849056,42.98437167762120,0.42984371677621,429.84371677621200,0.80817462370555
'HI-BM-CT_UAV_3-CT_UAV_4-YLD',SVR,0.95675104201409,0.04324895798591,43.00618652517590,0.43006186525176,430.06186525175900,0.80797986905198
'TGW-HI-BM-CT_UAV_4-YLD',SVR,0.95653695260465,0.04346304739535,42.43936862354360,0.42439368623544,424.39368623543600,0.81300813137808
'HI-BM-CT_UAV_1-CT_UAV_2-CT_UAV_3-CT_UAV_4-YLD',SVR,0.95651813657709,0.04348186342291,43.01395530952520,0.43013955309525,430.13955309525200,0.80791048844202
'HI-BM-CT_UAV_2-CT_UAV_3-CT_UAV_4-YLD',SVR,0.95648696330920,0.04351303669080,43.13196420933090,0.43131964209331,431.31964209330900,0.80685504645852
'HI-BM-CT_UAV_1-YLD',SVR,0.95644337975073,0.04355662024927,44.28164274420050,0.44281642744201,442.81642744200500,0.79642129812894
'HI-BM-CT_UAV_1-CT_UAV_2-CT_UAV_4-YLD',SVR,0.95640080424267,0.04359919575733,43.20221163493610,0.43202211634936,432.02211634936100,0.80622539813158
'HI-BM-CT_UAV_2-CT_UAV_4-YLD',SVR,0.95639534402502,0.04360465597498,43.18567069121380,0.43185670691214,431.85670691213800,0.80637375170278
'HI-BM-CT_UAV_1-CT_UAV_4-YLD',SVR,0.95629806361655,0.04370193638345,43.37800572858890,0.43378005728589,433.78005728588900,0.80464521346077
'TGW-HI-BM-YLD',XGB,0.95626242222838,0.04373757777162,40.22618822200220,0.40226188222002,402.26188222002200,0.83200256308330
'TGW-HI-BM-CT_UAV_1-CT_UAV_4-YLD',SVR,0.95611535925672,0.04388464074328,42.99281564544320,0.42992815645443,429.92815645443200,0.80809925089736
'TGW-HI-BM-CT_UAV_1-YLD',SVR,0.95607287807849,0.04392712192151,43.85819652295710,0.43858196522957,438.58196522957100,0.80029615271369
'TGW-HI-BM-CT_UAV_2-CT_UAV_4-YLD',SVR,0.95601719887100,0.04398280112900,42.87105171369570,0.42871051713696,428.71051713695700,0.80918471134117
'TGW-HI-BM-CT_UAV_1-CT_UAV_2-CT_UAV_4-YLD',SVR,0.95601113113910,0.04398886886090,42.87494867603270,0.42874948676033,428.74948676032700,0.80915001968981
'TGW-HI-BM-CT_UAV_3-CT_UAV_4-YLD',SVR,0.95597154645623,0.04402845354377,42.70009893014400,0.42700098930144,427.00098930144000,0.81070346886208
'TGW-HI-BM-CT_UAV_1-CT_UAV_3-CT_UAV_4-YLD',SVR,0.95596814081723,0.04403185918277,42.70923031991160,0.42709230319912,427.09230319911600,0.81062249831286
'HI-BM-CT_UAV_2-CT_UAV_3-YLD',XGB,0.95576311275486,0.04423688724514,43.21072667090320,0.43210726670903,432.10726670903200,0.80614900573189
'TGW-HI-BM-CT_UAV_1-CT_UAV_2-CT_UAV_3-CT_UAV_4-YLD',SVR,0.95574320144846,0.04425679855154,42.79064926273270,0.42790649262733,427.90649262732700,0.80989976869083
'HI-BM-CT_UAV_2-YLD',SVR,0.95574224243796,0.04425775756204,43.52640637634120,0.43526406376341,435.26406376341200,0.80330626914553
'TGW-HI-BM-CT_UAV_2-CT_UAV_3-CT_UAV_4-YLD',XGB,0.95573744472084,0.04426255527916,40.56543384101300,0.40565433841013,405.65433841013000,0.82915701801357
'HI-BM-CT_UAV_1-CT_UAV_3-YLD',SVR,0.95573679189765,0.04426320810235,43.83714715363160,0.43837147153632,438.37147153631600,0.80048779904754
'HI-BM-CT_UAV_1-CT_UAV_3-YLD',XGB,0.95570133461087,0.04429866538913,40.23124937181870,0.40231249371819,402.31249371818700,0.83196028646087
'HI-BM-CT_UAV_1-CT_UAV_2-YLD',SVR,0.95568753402569,0.04431246597431,43.77964739300080,0.43779647393001,437.79647393000800,0.80101084312684
'TGW-HI-BM-CT_UAV_3-YLD',SVR,0.95568598865284,0.04431401134716,42.74190388065700,0.42741903880657,427.41903880657000,0.81033263103581
'HI-BM-CT_UAV_3-YLD',SVR,0.95567896176465,0.04432103823535,43.25216606480390,0.43252166064804,432.52166064803900,0.80577701848644
'TGW-HI-BM-CT_UAV_2-CT_UAV_3-CT_UAV_4-YLD',SVR,0.95559050769398,0.04440949230602,42.91975717796140,0.42919757177961,429.19757177961400,0.80875089756110
'TGW-HI-BM-CT_UAV_1-CT_UAV_3-YLD',SVR,0.95557623468389,0.04442376531611,43.32558861335240,0.43325588613352,433.25588613352400,0.80511705384716
'HI-BM-CT_UAV_1-CT_UAV_2-CT_UAV_3-YLD',SVR,0.95554963798355,0.04445036201645,43.71928674865810,0.43719286748658,437.19286748658100,0.80155917251522
'HI-BM-CT_UAV_2-CT_UAV_3-YLD',SVR,0.95552961653443,0.04447038346557,43.50508623389110,0.43505086233891,435.05086233891100,0.80349891134454
'TGW-HI-BM-CT_UAV_2-YLD',SVR,0.95541784929164,0.04458215070836,43.11016988368850,0.43110169883689,431.10169883688500,0.80705018714280
'TGW-HI-BM-CT_UAV_1-CT_UAV_2-YLD',SVR,0.95540851874514,0.04459148125486,43.29111462186840,0.43291114621868,432.91114621868400,0.80542706556736
'TGW-HI-BM-CT_UAV_1-CT_UAV_2-CT_UAV_3-YLD',SVR,0.95529430551427,0.04470569448573,43.22069170909500,0.43220691709095,432.20691709095000,0.80605958555993
'TGW-HI-BM-CT_UAV_1-CT_UAV_2-CT_UAV_3-CT_UAV_4-YLD',XGB,0.95527116035996,0.04472883964004,39.85257521189890,0.39852575211899,398.52575211898900,0.83510872608450
'TGW-HI-BM-CT_UAV_2-CT_UAV_3-YLD',SVR,0.95521531449409,0.04478468550591,43.07669662549890,0.43076696625499,430.76696625498800,0.80734970586335
'HI-BM-CT_UAV_1-CT_UAV_3-CT_UAV_4-YLD',XGB,0.95489698566295,0.04510301433705,44.78117391926720,0.44781173919267,447.81173919267200,0.79180234116209
'TGW-HI-BM-CT_UAV_3-YLD',XGB,0.95441643694646,0.04558356305354,40.69348648618630,0.40693486486186,406.93486486186300,0.82807671771816
'HI-BM-CT_UAV_1-CT_UAV_2-CT_UAV_3-CT_UAV_4-YLD',XGB,0.95411884483943,0.04588115516057,45.53477756046200,0.45534777560462,455.34777560462000,0.78473603674596
'HI-BM-CT_UAV_2-CT_UAV_3-CT_UAV_4-YLD',XGB,0.95375645708037,0.04624354291963,45.07007970906060,0.45070079709061,450.70079709060600,0.78910730076505
'TGW-HI-BM-CT_UAV_4-YLD',XGB,0.95358943987719,0.04641056012281,41.73985137086610,0.41739851370866,417.39851370866100,0.81912160750530
'HI-BM-CT_UAV_1-CT_UAV_4-YLD',XGB,0.95355154771310,0.04644845228690,46.90326843713110,0.46903268437131,469.03268437131100,0.77160262511843
'TGW-HI-BM-CT_UAV_1-CT_UAV_2-CT_UAV_4-YLD',XGB,0.95351328060563,0.04648671939437,41.75751721282860,0.41757517212829,417.57517212828600,0.81896846631335
'HI-BM-CT_UAV_3-CT_UAV_4-YLD',XGB,0.95306610040833,0.04693389959167,43.75852936448620,0.43758529364486,437.58529364486200,0.80120276998854
'TGW-HI-BM-CT_UAV_2-CT_UAV_4-YLD',XGB,0.95220942125683,0.04779057874317,43.21583959937450,0.43215839599375,432.15839599374500,0.80610312800739
'TGW-HI-BM-CT_UAV_1-CT_UAV_4-YLD',XGB,0.95191548486577,0.04808451513423,43.45167854596340,0.43451678545963,434.51678545963400,0.80398107230542
'TGW-HI-BM-CT_UAV_2-YLD',XGB,0.95191477664694,0.04808522335306,45.56111307273760,0.45561113072738,455.61113072737600,0.78448696443516
'HI-BM-CT_UAV_2-CT_UAV_4-YLD',XGB,0.95140666033859,0.04859333966141,48.89449726576870,0.48894497265769,488.94497265768700,0.75179823628585
'HI-BM-CT_UAV_1-CT_UAV_2-CT_UAV_4-YLD',XGB,0.94956590387778,0.05043409612222,51.39653806515980,0.51396538065160,513.96538065159800,0.72574621675910
'TGW-BM-CT_UAV_1-CT_UAV_2-CT_UAV_3-YLD',XGB,0.93156702791933,0.06843297208067,51.11151278662820,0.51111512786628,511.11512786628200,0.72877959276768
'BM-CT_UAV_1-YLD',XGB,0.93154095041608,0.06845904958392,52.47522432912300,0.52475224329123,524.75224329123000,0.71411359674275
'TGW-BM-CT_UAV_2-CT_UAV_3-CT_UAV_4-YLD',XGB,0.93127260321421,0.06872739678579,50.89045579115140,0.50890455791151,508.90455791151400,0.73112057280117
