TGW,HI,BM,CT_UAV_1,CT_UAV_2,CT_UAV_3,CT_UAV_4,YLD
40.510542,0.493706,1252.84183,25.451605,24.184386,24.083716,31.700124,617.4453
37.094174,0.492329,1403.919849,25.482403,24.005464,23.580308,31.270182,689.6464
44.20175,0.498393,1376.809117,25.643851,24.291071,24.444127,32.008681,687.2559
32.876596,0.516203,1234.698326,26.120276,24.171371,25.492758,34.282378,636.4969
41.374175,0.481962,1279.299001,25.619695,23.80797,23.9709,31.579817,616.5022
39.235418,0.473544,1337.657044,25.333164,24.056089,23.798011,30.742659,633.8
41.879114,0.445547,1421.517203,25.688926,23.830932,23.769406,30.961368,633.3193
34.038258,0.513363,1244.505465,25.715028,23.759055,22.533755,30.232465,640.8301
35.775,0.4565,1280.105,25.415,23.655,22.715,30.095,584.34
42.896912,0.473238,1250.532927,25.336893,23.56882,23.277579,30.929611,589.9792
40.892667,0.470356,1530.503936,25.480631,24.055684,23.152822,31.02096,719.887
38.679788,0.462411,1457.523458,25.28822,23.995725,24.539216,32.780548,669.4631
39.259685,0.471271,1301.036613,25.742033,24.105988,23.678313,30.519471,612.7014
41.048271,0.485854,1419.162382,25.534237,24.152802,23.255087,31.473364,689.074
33.606927,0.471802,1223.20575,25.54967,23.708058,23.517479,31.144496,575.3299
31.933677,0.395617,1051.089892,25.693816,23.515794,22.90424,29.861462,413.2465
40.744884,0.515211,1268.259575,25.85639,23.857557,23.26223,30.253578,653.6674
28.379788,0.416911,1555.268458,25.72822,23.845725,23.249216,31.195548,646.7981
46.539818,0.488001,1275.027451,25.610598,23.912851,23.657205,31.190244,623.1032
45.731462,0.489699,1286.149138,25.691691,24.260867,25.070723,33.312501,630.8695
40.558387,0.471623,1486.699581,25.468682,23.912062,23.36514,30.829984,699.6754
43.098533,0.529053,1345.952065,25.612204,23.962294,24.061366,32.245842,713.1463
36.155448,0.485102,1293.252744,25.751073,23.762124,23.449173,31.443446,629.648
40.064542,0.500239,1176.852557,25.381648,23.660448,23.71572,31.32458,590.605
39.200654,0.483015,1277.633962,25.44536,24.142702,23.911918,31.895203,615.6989
40.151959,0.511412,1222.305452,25.55806,24.384729,24.435049,33.25724,623.5185
40.951072,0.477879,1145.716446,25.534388,23.954046,24.427397,32.784805,547.8761
34.510309,0.468411,1138.012133,25.98192,24.011075,24.197868,32.131962,534.254
42.208705,0.496783,1310.614691,25.415179,23.540868,25.547977,33.762646,655.5796
26.29385,0.438276,1262.629909,25.418399,23.62964,23.315328,30.874606,558.0368
26.533705,0.478283,824.924691,25.905179,23.955868,25.437977,33.292646,398.2896
28.820212,0.418089,1503.221542,25.44178,23.614275,23.530784,31.524452,629.6769
44.086312,0.501093,1354.331298,25.779419,23.863233,23.363292,30.851492,678.9975
