ML,Param,Reduction Technic,Dataset,RMSE,R2,MAPE
svr,linear,Without,original/phenotypic,41.009502633528776,0.8253961171034333,0.04262825203084962
svr,linear,Without,original/phenotypic weather d,41.49243953161734,0.8212595559061946,0.04332998824283862
svr,linear,Without,original/phenotypic weather w,41.56267881533918,0.8206538924525799,0.0431319050251707
svr,linear,Without,original/phenotypic weather f,41.82314448694257,0.8183989907878237,0.043678948609170015
svr,linear,Without,original/phenotypic weather m,41.799766859527814,0.8186019508603253,0.04364930208349007
svr,linear,heatmap,correlation/phenotypic,40.66863133041365,0.8282866714637882,0.041663389450956545
svr,linear,heatmap,correlation/phenotypic weather d,40.66863133041336,0.8282866714637906,0.041663389450956156
svr,linear,heatmap,correlation/phenotypic weather w,40.668621654421166,0.8282867531727921,0.04166339977578189
svr,linear,heatmap,correlation/phenotypic weather f,40.668621654421166,0.8282867531727921,0.04166339977578189
svr,linear,heatmap,correlation/phenotypic weather m,40.668621654421166,0.8282867531727921,0.04166339977578189
svr,linear,pca,original/phenotypic,40.17669728995713,0.8324156887341179,0.04299737248259092
svr,linear,pca,original/phenotypic weather d,99.32509660315299,-0.024242718979705424,0.13808288847820996
svr,linear,pca,original/phenotypic weather w,58.60346337683755,0.6434409540838606,0.07356858921349828
svr,linear,pca,original/phenotypic weather f,43.65641208124417,0.8021295353990261,0.05572453420686856
svr,linear,pca,original/phenotypic weather m,45.95065702027774,0.7807859710403531,0.051349246921758566
svr,poly,Without,original/phenotypic,71.49196026580454,0.46936083149068275,0.09861301153129437
svr,poly,Without,original/phenotypic weather d,98.88240488470252,-0.015132970678040092,0.1370365862841544
svr,poly,Without,original/phenotypic weather w,95.31583229080388,0.0567756973753778,0.13181560198741188
svr,poly,Without,original/phenotypic weather f,92.02465399671621,0.12078866279072786,0.12710113755791017
svr,poly,Without,original/phenotypic weather m,88.32922214150967,0.18998379952418143,0.12188226848431119
svr,poly,heatmap,correlation/phenotypic,68.56160641057365,0.5119696148070751,0.09355686586121152
svr,poly,heatmap,correlation/phenotypic weather d,68.56172556676027,0.5119679184672946,0.09355711707674615
svr,poly,heatmap,correlation/phenotypic weather w,68.56167673338938,0.5119686136727599,0.09355701815454306
svr,poly,heatmap,correlation/phenotypic weather f,68.56165274445009,0.5119689551857977,0.09355697482041513
svr,poly,heatmap,correlation/phenotypic weather m,68.5616412317823,0.5119691190832125,0.09355695392558484
svr,poly,pca,original/phenotypic,96.85965823674546,0.025973533511129077,0.1364256830055229
svr,poly,pca,original/phenotypic weather d,102.62156994105425,-0.0933575339123458,0.1434613551146958
svr,poly,pca,original/phenotypic weather w,102.57551481774917,-0.09237638702823259,0.14338475571569126
svr,poly,pca,original/phenotypic weather f,102.74077840784571,-0.09589916677603583,0.14367525704319267
svr,poly,pca,original/phenotypic weather m,102.47649002856997,-0.09026827911021518,0.14324955154293806
svr,rbf,Without,original/phenotypic,91.15402905576555,0.13734601662357093,0.12421107030969879
svr,rbf,Without,original/phenotypic weather d,99.5085009971783,-0.02802875202252042,0.13810037310718154
svr,rbf,Without,original/phenotypic weather w,98.19920347337514,-0.0011538534843751336,0.13609403314475627
svr,rbf,Without,original/phenotypic weather f,96.87034011342968,0.025758686494273708,0.1340082055332289
svr,rbf,Without,original/phenotypic weather m,95.86967600240358,0.04578242237309493,0.13236916957631253
svr,rbf,heatmap,correlation/phenotypic,90.73930831974441,0.1451777417277622,0.12320344194731193
svr,rbf,heatmap,correlation/phenotypic weather d,90.73929898139566,0.14517791767417632,0.12320343232147848
svr,rbf,heatmap,correlation/phenotypic weather w,90.73930902415476,0.14517772845577082,0.1232034598583891
svr,rbf,heatmap,correlation/phenotypic weather f,90.73930358382934,0.14517783095845127,0.12320343705234627
svr,rbf,heatmap,correlation/phenotypic weather m,90.73930542369084,0.14517779629311134,0.12320343897177854
svr,rbf,pca,original/phenotypic,97.35251504669995,0.016035919985689095,0.13468721968444328
svr,rbf,pca,original/phenotypic weather d,102.610997428647,-0.09313226079202419,0.14344417848656812
svr,rbf,pca,original/phenotypic weather w,102.40454072676,-0.0887378499659055,0.14316416410444202
svr,rbf,pca,original/phenotypic weather f,101.94146424575874,-0.07891350125810859,0.1424558691204104
svr,rbf,pca,original/phenotypic weather m,101.39641236429918,-0.06740706011589759,0.14164187155332372
svr,sigmoid,Without,original/phenotypic,87.5688038941891,0.20387047827159055,0.12068017148593968
svr,sigmoid,Without,original/phenotypic weather d,99.44969062702678,-0.02681396363742561,0.13794281224725982
svr,sigmoid,Without,original/phenotypic weather w,99.01784551877142,-0.017915759275250576,0.13733881516463564
svr,sigmoid,Without,original/phenotypic weather f,98.28789077839123,-0.00296302766543155,0.13621650202905908
svr,sigmoid,Without,original/phenotypic weather m,97.60012839662913,0.011024185239924988,0.13519670082571544
svr,sigmoid,heatmap,correlation/phenotypic,78.72867375140174,0.35649672124035736,0.10815633056680621
svr,sigmoid,heatmap,correlation/phenotypic weather d,78.72870799672104,0.35649616141941787,0.10815638122940065
svr,sigmoid,heatmap,correlation/phenotypic weather w,78.7286982323071,0.35649632104194007,0.10815636678887955
svr,sigmoid,heatmap,correlation/phenotypic weather f,78.7286910841056,0.3564964378962475,0.1081563561986363
svr,sigmoid,heatmap,correlation/phenotypic weather m,78.72868443778593,0.3564965465460965,0.1081563463457027
svr,sigmoid,pca,original/phenotypic,90.47583791223818,0.1501346539695113,0.12548390877237112
svr,sigmoid,pca,original/phenotypic weather d,102.6026907694422,-0.0929552834729015,0.14343180248896284
svr,sigmoid,pca,original/phenotypic weather w,102.11629811581842,-0.08261743819840728,0.14279549444689849
svr,sigmoid,pca,original/phenotypic weather f,101.2217925386915,-0.06373375582022578,0.1415699783055648
svr,sigmoid,pca,original/phenotypic weather m,99.96796793176827,-0.037544234809197885,0.13959009563230362
